--------------------
BDMEP - INMET
--------------------
Estação           : MARINGA - PR (OMM: 83767)
Latitude  (graus) : -23.4
Longitude (graus) : -51.91
Altitude  (metros): 542.00
Estação Operante
Inicio de operação: 01/12/1953
Periodo solicitado dos dados: 10/05/2016 a 10/05/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;Umidade Relativa Media;Velocidade do Vento Media;
83767;20/07/2016;0000;;58;1;
83767;20/07/2016;1200;0;;;
83767;21/07/2016;0000;;62.25;0.666667;
83767;21/07/2016;1200;0;;;
83767;22/07/2016;0000;;66.25;1.333333;
83767;22/07/2016;1200;0;;;
83767;23/07/2016;0000;;62.5;1.666667;
83767;23/07/2016;1200;0;;;
83767;24/07/2016;0000;;54.5;1;
83767;24/07/2016;1200;0;;;
83767;25/07/2016;0000;;48;2;
83767;25/07/2016;1200;0;;;
83767;26/07/2016;0000;;48.75;1.666667;
83767;26/07/2016;1200;0;;;
83767;27/07/2016;0000;;43;2;
83767;27/07/2016;1200;0;;;
83767;28/07/2016;0000;;60.75;0.666667;
83767;28/07/2016;1200;0;;;
83767;29/07/2016;0000;;59.5;0.666667;
83767;29/07/2016;1200;0;;;
83767;30/07/2016;0000;;54.5;1.666667;
83767;30/07/2016;1200;0;;;
83767;31/07/2016;0000;;53.75;1.666667;
83767;31/07/2016;1200;0;;;
83767;01/08/2016;0000;;53.5;0.333333;
83767;01/08/2016;1200;0;;;
83767;02/08/2016;0000;;51;1.333333;
83767;02/08/2016;1200;0;;;
83767;03/08/2016;0000;;62.5;1.333333;
83767;03/08/2016;1200;0;;;
83767;04/08/2016;0000;;56;0.666667;
83767;04/08/2016;1200;0;;;
83767;05/08/2016;0000;;49;1.666667;
83767;05/08/2016;1200;0;;;
83767;06/08/2016;0000;;43.5;0.666667;
83767;06/08/2016;1200;0;;;
83767;07/08/2016;0000;;62.5;1.666667;
83767;07/08/2016;1200;0;;;
83767;08/08/2016;0000;;76.75;1.333333;
83767;08/08/2016;1200;0;;;
83767;09/08/2016;0000;;77.75;1.333333;
83767;09/08/2016;1200;15.5;;;
83767;10/08/2016;0000;;56.75;1.333333;
83767;10/08/2016;1200;0;;;
83767;11/08/2016;0000;;48;1.333333;
83767;11/08/2016;1200;0;;;
83767;12/08/2016;0000;;51.5;1.666667;
83767;12/08/2016;1200;0;;;
83767;13/08/2016;0000;;51.25;1;
83767;13/08/2016;1200;0;;;
83767;14/08/2016;0000;;45;0.666667;
83767;14/08/2016;1200;0;;;
83767;15/08/2016;0000;;86.75;3.666667;
83767;15/08/2016;1200;1.9;;;
83767;16/08/2016;0000;;70.25;0.666667;
83767;16/08/2016;1200;19.4;;;
83767;17/08/2016;0000;;63.5;2;
83767;17/08/2016;1200;0;;;
83767;18/08/2016;0000;;87.75;6.666667;
83767;18/08/2016;1200;0;;;
83767;19/08/2016;0000;;82.75;7;
83767;19/08/2016;1200;34.8;;;
83767;20/08/2016;0000;;92;2;
83767;20/08/2016;1200;11.7;;;
83767;21/08/2016;0000;;68;8.666667;
83767;21/08/2016;1200;40.3;;;
83767;22/08/2016;0000;;57.75;1.333333;
83767;22/08/2016;1200;0;;;
83767;23/08/2016;0000;;60.5;1.666667;
83767;23/08/2016;1200;0;;;
83767;24/08/2016;0000;;61.75;2;
83767;24/08/2016;1200;0;;;
83767;25/08/2016;0000;;57;2.333333;
83767;25/08/2016;1200;0;;;
83767;26/08/2016;0000;;50;1.333333;
83767;26/08/2016;1200;0;;;
83767;27/08/2016;0000;;40.75;1.333333;
83767;27/08/2016;1200;0;;;
83767;28/08/2016;0000;;36;1.333333;
83767;28/08/2016;1200;0;;;
83767;29/08/2016;0000;;83.25;0.333333;
83767;29/08/2016;1200;0;;;
83767;30/08/2016;0000;;95.25;1;
83767;30/08/2016;1200;10.6;;;
83767;31/08/2016;0000;;79.25;0.666667;
83767;31/08/2016;1200;10.2;;;
83767;01/09/2016;0000;;54.75;1;
83767;01/09/2016;1200;0;;;
83767;02/09/2016;0000;;59;1;
83767;02/09/2016;1200;0;;;
83767;03/09/2016;0000;;88.25;1.333333;
83767;03/09/2016;1200;0;;;
83767;04/09/2016;0000;;89.25;0.333333;
83767;04/09/2016;1200;14.2;;;
83767;05/09/2016;0000;;94.25;1.02888;
83767;05/09/2016;1200;0;;;
83767;06/09/2016;0000;;79.75;2.666667;
83767;06/09/2016;1200;7.9;;;
83767;07/09/2016;0000;;56.25;1.666667;
83767;07/09/2016;1200;0;;;
83767;08/09/2016;0000;;65.75;1;
83767;08/09/2016;1200;0;;;
83767;09/09/2016;0000;;52;1;
83767;09/09/2016;1200;0;;;
83767;10/09/2016;0000;;53.5;1.333333;
83767;10/09/2016;1200;0;;;
83767;11/09/2016;0000;;54.25;1;
83767;11/09/2016;1200;0;;;
83767;12/09/2016;0000;;43.75;1.666667;
83767;12/09/2016;1200;0;;;
83767;13/09/2016;0000;;66.5;3.666667;
83767;13/09/2016;1200;0;;;
83767;14/09/2016;0000;;38.5;2.666667;
83767;14/09/2016;1200;4.3;;;
83767;15/09/2016;0000;;39;1.333333;
83767;15/09/2016;1200;0;;;
83767;16/09/2016;0000;;40.5;1.333333;
83767;16/09/2016;1200;0;;;
83767;17/09/2016;0000;;51.25;1;
83767;17/09/2016;1200;0;;;
83767;18/09/2016;0000;;56;1.666667;
83767;18/09/2016;1200;0;;;
83767;19/09/2016;0000;;93;6.333333;
83767;19/09/2016;1200;2.6;;;
83767;20/09/2016;0000;;50.25;1.333333;
83767;20/09/2016;1200;10.4;;;
83767;21/09/2016;0000;;48.75;3.333333;
83767;21/09/2016;1200;0;;;
83767;22/09/2016;0000;;50;2.333333;
83767;22/09/2016;1200;0;;;
83767;23/09/2016;0000;;50.75;1.333333;
83767;23/09/2016;1200;0;;;
83767;24/09/2016;0000;;48.25;2;
83767;24/09/2016;1200;0;;;
83767;25/09/2016;0000;;63.25;1.333333;
83767;25/09/2016;1200;0;;;
83767;26/09/2016;0000;;53.75;1;
83767;26/09/2016;1200;0;;;
83767;27/09/2016;0000;;47.5;1.333333;
83767;27/09/2016;1200;0;;;
83767;28/09/2016;0000;;38;1.666667;
83767;28/09/2016;1200;0;;;
83767;29/09/2016;0000;;41.5;0.666667;
83767;29/09/2016;1200;0;;;
83767;30/09/2016;0000;;50.25;2;
83767;30/09/2016;1200;0;;;
83767;01/10/2016;0000;;52;2;
83767;01/10/2016;1200;0;;;
83767;02/10/2016;0000;;50.25;1.666667;
83767;02/10/2016;1200;0;;;
83767;03/10/2016;0000;;91.5;1.333333;
83767;03/10/2016;1200;0.3;;;
83767;04/10/2016;0000;;77.5;1;
83767;04/10/2016;1200;8.1;;;
83767;05/10/2016;0000;;67;1.333333;
83767;05/10/2016;1200;0;;;
83767;06/10/2016;0000;;70.75;2;
83767;06/10/2016;1200;1.3;;;
83767;07/10/2016;0000;;55.75;1;
83767;07/10/2016;1200;0;;;
83767;08/10/2016;0000;;43;1.333333;
83767;08/10/2016;1200;0;;;
83767;09/10/2016;0000;;35.25;1;
83767;09/10/2016;1200;0;;;
83767;10/10/2016;0000;;49.25;2;
83767;10/10/2016;1200;0;;;
83767;11/10/2016;0000;;63.5;2;
83767;11/10/2016;1200;0;;;
83767;12/10/2016;0000;;66.25;3.666667;
83767;12/10/2016;1200;2;;;
83767;13/10/2016;0000;;94.25;1.333333;
83767;13/10/2016;1200;4.5;;;
83767;14/10/2016;0000;;85.25;1.666667;
83767;14/10/2016;1200;35.3;;;
83767;15/10/2016;0000;;71;1;
83767;15/10/2016;1200;0;;;
83767;16/10/2016;0000;;55.5;1;
83767;16/10/2016;1200;0;;;
83767;17/10/2016;0000;;51;1.333333;
83767;17/10/2016;1200;0;;;
83767;18/10/2016;0000;;58.25;1.333333;
83767;18/10/2016;1200;0;;;
83767;19/10/2016;0000;;50;2;
83767;19/10/2016;1200;0;;;
83767;20/10/2016;0000;;71;2;
83767;20/10/2016;1200;0;;;
83767;21/10/2016;0000;;80.75;0.666667;
83767;21/10/2016;1200;13.2;;;
83767;22/10/2016;0000;;62.5;2;
83767;22/10/2016;1200;0;;;
83767;23/10/2016;0000;;67.75;1;
83767;23/10/2016;1200;0;;;
83767;24/10/2016;0000;;70;2.333333;
83767;24/10/2016;1200;1;;;
83767;25/10/2016;0000;;83.75;1.666667;
83767;25/10/2016;1200;0;;;
83767;26/10/2016;0000;;96.25;1;
83767;26/10/2016;1200;48.9;;;
83767;27/10/2016;0000;;71.5;4.666667;
83767;27/10/2016;1200;24;;;
83767;28/10/2016;0000;;56;0.666667;
